ea	fascode	idw	a2_x	a2	a2x	a2a	a2b	a2bb	a2c	a2dx	a2d	a2d1	a2ex	a3a1	a3b	a3a	a4yr	a4mth	a5	a5a	a9	a10	a17	a18	a19	a20	a21	a6_a	a6_b	a6a	a7	a7a	a8	a11	a12ax	a12bx	a12dx	a12ex	a12fx	a12d1	a12f1	a26	a21a_x	a21b_x	a21a	a21b	a2e	a5b	commid14	b14x	b14aday	b14amth	b14bday	b14bmth	b16ba	b16aa	b16ab	b16ab_a_mth	b16ab_a_yr	b16ab_b_mth	b16ab_b_yr	b16f	bd00a	bd01a_a	bd01a_b	bd01a_c	bd01a_d	bd01a_e	bd01a_f	bd01a_v	bd01aa	bd01ba	bd01bb	bd01bc	bd01bd	bd02a	bd03b	bd04b	bd04a	bd08	bd09	bd10	module	idivwr	resvis	langmain	langoth	fp2	result	reason	sup_obs	sup_edit	sup_verif	cp1	cp2	cp3	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	lk05	lk13	lk15	lk16	lk17	lk19	lk20	lk21	lk22	lk23	lk24	lk01_14_14	lk02_14_14	lk03_14_14	pb1	pb2	pb3	pb3a	pb3b	pb3c	pb3d	pb3e	pb3f	pb3g	pb3h	pb3i	pb3j	pb4	pb5	facwght14s	fcode14
"129"	"1292505"	"129"																																															"3223"																																		"PRA"	"K52"	3	0	96	3	3	3	3	3	3																																																				"32232505"
"129"	"1292509"	"129"	1	32	1	3	1	1	3					95	1999	2009	5	6	95	24	1	1	1	1	1	1		3	3		3			7	1	1	3	3	3	150	32	5	1	1	2800000	2800000		2000000	"3223"	1	29	3	4	4	1	3						6	3																				"PRA"	"K51"	1	0	96	1	1		1	3	3				3	3	3		1	1	1	1		3								"B"	1	2	"K51"		"K41"	"G01"	3	3	3	3	3	32	11	160	1	3	"A"	3										1	1	0.4166666567325592	"32232509"
"130"	"1302050"	"130"	1	58	3	3	2	5	1	1	2	1	3	95	1980	1982	37	0	1	56	1	1	1	1	2	1		3	3		3			95	1	1	3	3	3	40	32	1	1	1	9000000	9000000		9000000	"3224"	1	29	3	4	4	1	3						2	3																				"PRA"	"I53"	1	0	96	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"W"	2	3	"I53"		"I41"	"G01"	8	8	8	8	8	32	12	40	1	2	"G"							2				1	2	0.5	"32242050"
"130"	"1302102"	"130"	1	41	3	3	5	2	3					95	2009	1998	17	0	1	35	1	1	1	1	2	1		3	3		3			1	1	1	3	3	3	40	32	4	1	1	3100000	5000000		5000000	"3224"	1	29	3	4	4	1	1	"A"	98	9998			2	3																				"PRA"	"I51"	1	0	1	1	1		3	3	3				3	3	1	3	1	1	1	1		3								"W"	2	3	"I51"		"I41"	"G01"	3	3	3	8	8	32	12	40	1	2	"G"							2				1	1	0.5	"32242102"
"130"	"1302250"	"130"	1	38	1	3	4	1	3					95	2010	20	7	0	1	49	1	1	1	1	2	1		1	3	3	3			1	1	1	3	3	3	40	32	4	1	1	5950000	4500000		4500000	"3224"	1	29	3	4	4	1	3						6	3																				"PRA"	"I51"	1	0	1	1	1		3	3	3				3	1	1	3	6	3	1	1		3								"W"	2	4	"I51"		"I41"	"G01"	3	3	3	3	1	32	12	40	3															0.5	"32242250"
"130"	"1302251"	"130"	1	41	1	3	4	2	3					95	1999	1999	14	0	1	35	1	1	1	1	2	1		1	3	3	3			1	1	1	1	3	3	41	32	4	1	1	5000000	6000000		6000000	"3224"	1	29	3	4	4	1	3						3	3																				"PRA"	"I53"	1	0	96	1	1		3	3	3				3	3	3		6	1	3	1		3								"W"	2	4	"I53"		"I41"	"G01"	3	3	3	3	1	32	12	40	3															0.5	"32242251"
"130"	"1302501"	"130"																																															"3224"																																		"PRA"	"I52"	3	0	96	3	3	6	3	3	3																																																				"32242501"
"130"	"1302502"	"130"	1	31	1	3	4	2	3					95	2004	2012	3	0	3	7	1	1	1	1	2	1		3	3		3			1	1	1	1	3	3	41	32	4	1	1	3100000	500000		500000	"3224"	1	5	4	11	4	1	3						6	3																				"PRA"	"I51"	1	0	1	1	1		3	3	3				3	3	1	3	6	1	1	1		3								"W"	2	4	"I51"		"I41"	"G01"	3	3	3	3	3	32	12	40	3															0.5	"32242502"
"131"	"1312052"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	6	3	3	3																																																				"32252052"
"131"	"1312053"	"131"	1	72	1	1	5	8	6					7	1980	1980	34	0	1	28	1	3	1	1	1	1		3	3		3			7	1	1	3	3	3	70	32	1	1	1	10000000	10000000		10000000	"3225"	1	5	4	11	4	1	1	"A"	98	2014			4	3																				"PRA"	"I52"	1	0	2	1	1		3	3	3				3	3	3		1	1	1	1		3								"W"	1	1	"I52"		"I41"	"G01"	8	8	8	8	8	32	13	70	3															0.21739129722118378	"32252053"
"131"	"1312071"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	3	3	3	3																																																				"32252071"
"131"	"1312072"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	6	3	3	3																																																				"32252072"
"131"	"1312250"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	3	3	3	3																																																				"32252250"
"131"	"1312252"	"131"	1	40	3	3	5	2	3					7	2012	1998	17	0	1	24	1	1	1	1	1	1		3	3		3			6	1	1	3	3	3	70	32	4	1	1	3000000	4000000		4000000	"3225"	1	10	5	16	5	3	3						4	3																				"PRA"	"I53"	1	0	96	1	1		3	3	3				3	3	3		1	1	1	1		3								"A"	1	3	"I53"		"I41"	"G01"	3	3	3	3	3	32	13	70	1	2	"G"							2				1	1	0.21739129722118378	"32252252"
"131"	"1312254"	"131"	1	32	3	3	5	2	3					95	2013	2006	8	10	1	18	1	1	1	1	2	1		1	1	3	3			1	1	1	3	3	3	70	32	4	1	1	1700000	15000000		15000000	"3225"	1	10	5	16	5	1	1	"A"	1	2013			1	1	20	10	10	12	2	3	2	72	25	0	10	25	80	100	90	6	1	3	1	"PRA"	"I52"	1	0	2	3	1		3	3	3				3	3	3		6	1	1	1		1	3	3	3		6	1	3	"B"	1	5	"I52"		"I41"	"G01"	3	3	3	3	1	32	13	70	3															0.21739129722118378	"32252254"
"131"	"1312271"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	6	3	3	3																																																				"32252271"
"131"	"1312501"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	6	3	3	3																																																				"32252501"
"131"	"1312502"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	6	3	3	3																																																				"32252502"
"131"	"1312503"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	2	3	3	3	3	3	3																																																				"32252503"
"131"	"1312504"	"131"	1	41	3	3	4	1	3					95	2013	1996	4	6	1	136	1	1	1	1	1	1		3	3		3			10	1	1	3	3	3	70	32	4	1	1	4000000	2000000		2000000	"3225"	1	5	4	11	4	1	3						6	1	4	2	6	21	2	6	10	32	30	3	10	100	90	80	80	6	1	3	1	"PRA"	"I52"	1	0	2	1	1		1	3	3				3	3	3		6	1	1	1		1	3	3	3		6	1	1	"B"	1	5	"I52"		"I41"	"G01"	3	3	3	3	3	32	13	70	3															0.21739129722118378	"32252504"
"131"	"1312505"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	6	3	3	3																																																				"32252505"
"131"	"1312506"	"131"																																															"3225"																																		"PRA"	"I52"	3	0	96	3	3	3	3	3	3																																																				"32252506"
